Program,Tissue_Type,Image_Name,Vessel_Length,Vessel_Area,Mean_Diameter,Num_BranchPoints,Sensitivity,Specificity,Accuracy,umppix,pix_dim
AngioQuant,diaphragm,diaphragm_60x_1.tif,1130,7856,4.142560005,50,0.073505997,0.999942702,0.906165123,0.207194025,1024
AngioQuant,diaphragm,diaphragm_60x_2.tif,14031,141320,9.317843437,520,0.476797392,0.999969424,0.852111816,0.207194025,1024
AngioQuant,diaphragm,diaphragm_60x_3.tif,15982,167419,9.157574654,402,0.544157534,0.99987046,0.866234779,0.207194025,1024
AngioQuant,diaphragm,diaphragm_60x_4.tif,13087,99583,6.802742004,314,0.376454452,0.999713246,0.84283638,0.207194025,1024
AngioQuant,diaphragm,diaphragm_60x_5.tif,8080,45583,4.595788002,145,0.26260624,0.999989715,0.877948761,0.207194025,1024
AngioQuant,diaphragm,diaphragm_60x_6.tif,10950,93747,7.825140476,250,0.501638201,0.999769166,0.911178589,0.207194025,1024
AngioQuant,heart,heart_60x_1.tif,7607,51032,5.79197216,93,0.249544003,0.999998815,0.853642464,0.207194025,1024
AngioQuant,heart,heart_60x_2.tif,10303,71217,5.639117718,280,0.198179946,0.999992746,0.725224495,0.207194025,1024
AngioQuant,heart,heart_60x_3.tif,23264,200720,8.327839851,848,0.539083428,0.999884681,0.836323738,0.207194025,1024
AngioQuant,heart,heart_60x_4.tif,10519,94856,7.574770927,307,0.35712403,0.999985951,0.837163925,0.207194025,1024
AngioQuant,heart,heart_60x_5.tif,17361,132961,6.604328156,571,0.42188948,0.999963189,0.826254845,0.207194025,1024
AngioQuant,heart,heart_60x_6.tif,22809,183329,7.756239414,930,0.440475501,0.998792004,0.778107643,0.207194025,1024
AngioQuant,ing_fat,ing_fat_20x_1.tif,5996,70110,10.75563622,136,0.325561092,0.999995199,0.861491203,0.310791038,1024
AngioQuant,ing_fat,ing_fat_20x_2.tif,5432,73046,10.97901058,83,0.287259738,0.999969788,0.827190399,0.310791038,1024
AngioQuant,ing_fat,ing_fat_20x_3.tif,4738,51328,8.879542351,94,0.329874956,0.999773946,0.900758743,0.310791038,1024
AngioQuant,ing_fat,ing_fat_60x_1.tif,2159,23139,9.013048172,57,0.09033661,1,0.777791023,0.207194025,1024
AngioQuant,ing_fat,ing_fat_60x_2.tif,2314,24830,9.868267059,61,0.079666193,0.999974225,0.726634026,0.207194025,1024
AngioQuant,ing_fat,ing_fat_60x_3.tif,3125,36211,10.12730026,62,0.510014286,0.999478835,0.966803551,0.207194025,1024
AngioQuant,liver,liver_60x_1.tif,19703,200487,9.895624161,763,0.471236003,0.999720928,0.785479546,0.207194025,1024
AngioQuant,liver,liver_60x_2.tif,19884,196785,9.429962158,738,0.428880459,0.999142022,0.750250816,0.207194025,1024
AngioQuant,liver,liver_60x_3.tif,17889,179587,8.774068832,567,0.380224825,0.999680967,0.72094059,0.207194025,1024
AngioQuant,liver,liver_60x_4.tif,21798,196298,8.213564873,880,0.382746964,0.99485642,0.699728966,0.207194025,1024
AngioQuant,liver,liver_60x_5.tif,27202,236917,8.219917297,1092,0.426211307,0.980541529,0.699142456,0.207194025,1024
AngioQuant,liver,liver_60x_6.tif,21372,189471,7.709514618,837,0.338944496,0.995616821,0.649557114,0.207194025,1024
AngioQuant,periton_cav,periton_cav_20x_1.tif,7003,87945,11.05885792,131,0.37838466,0.999959571,0.862236023,0.310791038,1024
AngioQuant,periton_cav,periton_cav_20x_2.tif,6739,70883,8.83216095,47,0.334030772,1,0.865224838,0.310791038,1024
AngioQuant,periton_cav,periton_cav_20x_3.tif,7311,80895,9.916650772,91,0.392110169,0.999356371,0.880682945,0.310791038,1024
AngioQuant,periton_cav,periton_cav_60x_1.tif,4756,42072,7.175364017,124,0.135172658,0.999985083,0.743351936,0.207194025,1024
AngioQuant,periton_cav,periton_cav_60x_2.tif,7719,60633,6.684302807,137,0.222221408,0.999998711,0.797616959,0.207194025,1024
AngioQuant,periton_cav,periton_cav_60x_3.tif,6218,67316,10.05964565,171,0.492255124,0.999957232,0.933783531,0.207194025,1024
AngioQuant,retina,retina_20x_1.tif,8580,71492,6.612300396,175,0.348366749,0.999967988,0.872488976,0.310791038,1024
AngioQuant,retina,retina_20x_2.tif,9394,74207,6.442544937,204,0.388358559,0.999998834,0.888543129,0.310791038,1024
